Region,InstrumentType,ContractName,MaxOrderNotional,MaxOrderNotional (spread),MaxOrderQuantity,MaxOrderQuantity (spread),MaxLiveNotional,MaxLiveNotional(spread),MaxLiveQuantity,MaxLiveQuantity (spread)
APAC,BondFuture,10TB,2300000,2140000,100,20,30000000,30000000,30,30
APAC,BondFuture,AUL,2300000,2300000,45,45,30000000,30000000,30,30
APAC,CommodityFuture,COI,150000,5000000,4,200,300000,30000000,30,200
APAC,CommodityFuture,CRSM,200000,5000000,4,400,300000,30000000,10,400
APAC,CommodityFuture,CTA,350000,5000000,4,1000,300000,30000000,10,1000
APAC,CommodityFuture,CZPK,300000,5000000,4,90,300000,30000000,10,90
APAC,CommodityFuture,DBY,150000,5000000,4,200,300000,30000000,10,200
APAC,CommodityFuture,DCIO,150000,5000000,4,150,300000,30000000,10,150
APAC,CommodityFuture,DCP,250000,5000000,4,200,300000,30000000,10,200
APAC,CommodityFuture,DSA,350000,5000000,4,300,300000,30000000,10,300
APAC,CommodityFuture,DSB,150000,5000000,4,200,300000,30000000,10,200
APAC,CommodityFuture,DSM,200000,5000000,4,400,300000,30000000,10,400
APAC,IndexFuture,ES,1000000,1000000,10,10,30000000,30000000,10,30
APAC,IndexFuture,FFI,1000000,1000000,10,10,30000000,30000000,30,30
APAC,IndexFuture,FKLI,1000000,1000000,10,10,30000000,30000000,30,30
APAC,BondFuture,FV,2300000,2300000,45,45,30000000,30000000,30,30
APAC,IndexFuture,GIF,1000000,1000000,15,15,30000000,30000000,30,100
APAC,IndexFuture,HCEI,1000000,1040000,15,20,30000000,30000000,100,30
APAC,IndexFuture,HSI,1000000,1070000,10,6,30000000,30000000,30,30
APAC,CommodityFuture,ILU,100000,5000000,4,100,300000,30000000,30,100
APAC,CommodityFuture,ISC,100000,5000000,4,30,300000,30000000,10,30
APAC,BondFuture,JGB,4200000,15710000,10,10,30000000,30000000,10,30
APAC,IndexFuture,JNI,1100000,2600000,10,10,30000000,30000000,30,30
APAC,IndexFuture,JTI,1000000,1840000,10,10,30000000,30000000,30,30
APAC,IndexFuture,KS,1000000,1570000,10,20,30000000,30000000,30,30
APAC,BondFuture,KTB,5000000,5000000,100,100,30000000,30000000,30,30
APAC,IndexFuture,S50,1000000,1000000,15,15,30000000,30000000,30,100
APAC,IndexFuture,SFC,1000000,310000,15,20,30000000,30000000,100,30
APAC,CommodityFuture,SIBC,300000,5000000,4,70,300000,30000000,30,70
APAC,IndexFuture,SIN,1000000,1000000,15,15,30000000,30000000,10,100
APAC,CommodityFuture,SINR,150000,5000000,4,40,300000,30000000,100,40
APAC,IndexFuture,SSG,1000000,490000,15,20,30000000,30000000,10,100
APAC,IndexFuture,SSI,1000000,1000000,10,10,30000000,30000000,100,30
APAC,IndexFuture,STWN,1000000,1000000,10,10,30000000,30000000,30,30
APAC,IndexFuture,STXE,1000000,1000000,10,10,30000000,30000000,30,30
APAC,BondFuture,TN,2300000,2300000,100,100,30000000,30000000,30,30
APAC,BondFuture,TU,5000000,5000000,80,80,30000000,30000000,30,30
